base_y_base_x,base_theta_base_y,base_link_base_theta,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
2.54504e-19,2.25145e-19,-1.96844e-18,7.84256e-19,1.64183e-18,2.82197e-19,5.43404e-19,6.76607e-19,1.25531e-18,-4.11442e-18
2.54504e-19,2.25145e-19,-1.96844e-18,7.84256e-19,1.64183e-18,2.82197e-19,5.43404e-19,6.76607e-19,1.25531e-18,-4.11442e-18
0.00043037127140143,0.0003808370889239984,-0.0023920821118925254,0.0009530189977738332,0.0019952012328590518,0.0003429293141134092,0.0006603415839815328,0.000822221911521858,0.0015254921882160693,-0.005000000000000006
0.0017214850856057187,0.0015233483556959925,-0.009568328447570093,0.0038120759910953285,0.0079808049314362,0.0013717172564536354,0.0026413663359261285,0.003288887646087429,0.006101968752864271,-0.020000000000000007
0.0038733414426128654,0.0034275338003159814,-0.0215287390070327,0.008577170979964487,0.01795681109573144,0.0030863638270206785,0.005943074255833787,0.007399997203696712,0.013729429693944604,-0.04499999999999999
0.006885881798120519,0.0060933434857484,-0.038273015379977675,0.015248209355211654,0.03192297082600976,0.005486828673578544,0.010565392678298504,0.013155448012833342,0.02440768470754428,-0.07999927913734825
0.010759096419119448,0.009520770442540485,-0.05980112719888001,0.023825200365435072,0.04987925879315598,0.008573109577352621,0.01650832175914867,0.02055522963537552,0.0381367144275128,-0.12499768854819021
0.015492973949659067,0.013709736143000511,-0.08611271235650741,0.034307890028435394,0.0718253729687436,0.012345167541835381,0.023771693764007548,0.029599217605486866,0.0549162879287697,-0.17999514908107347
0.021087380587187975,0.01866031446034412,-0.11720766945151082,0.04669629622033452,0.09776122877536801,0.016802936078109988,0.03235552149331501,0.04028737706884084,0.07474625995126175,-0.24499104085800766
0.02754250111839433,0.02437241096853747,-0.153086256906541,0.060990527713450565,0.1276865562703407,0.02194647341267333,0.04225988035587664,0.05261979685213986,0.09762693707917658,-0.31998489235855454
0.034858038425374376,0.030846032031289917,-0.19374761133933063,0.07719034053142126,0.16160194612488787,0.027775695092321882,0.05348463201321768,0.06659618018805528,0.1235576017243945,-0.4049768118432281
0.04303437177279445,0.03808124955727817,-0.2391928369908094,0.09529597461005773,0.1995071833933927,0.034290772023338245,0.06602988129334876,0.08221690663341064,0.15253930749650949,-0.4999674274937785
0.05207121982038416,0.04607800126867427,-0.2894214817601658,0.11530733042328464,0.24140198798458823,0.041491526789938823,0.07989570339289834,0.09948182078919532,0.18457114968728588,-0.6049570663197699
0.06196874377801983,0.054836370462871334,-0.3444338858606131,0.13722504642238803,0.2872869349948554,0.049378179032537356,0.09508201066552201,0.11839075021822475,0.2196540442363437,-0.7199451384184153
0.07246396628045215,0.06412355743356836,-0.40276787148915355,0.16046514544654872,0.3359424192408718,0.057740911632597224,0.11118506557347654,0.13844182100221392,0.256855182756705,-0.8418770311649829
0.0829805315003779,0.07342972100751761,-0.4612209514475857,0.18375353400800196,0.38469726363432544,0.06612081520460744,0.12732151215274468,0.15853385332746767,0.2941324302646637,-0.964057016678547
0.09349717331332925,0.08273595145473557,-0.5196745007954388,0.20704206288998678,0.43345257810857385,0.07450069073781604,0.14345804162108133,0.17862600030590062,0.33140989854599356,-1.0862370300104687
0.10398873020527519,0.09201954686135311,-0.5779863607950866,0.2302733938366969,0.48208971383889454,0.0828602514181786,0.15955470934923469,0.1986694654947651,0.3685962369026726,-1.2081208599941462
0.11386513641655471,0.10075906766670897,-0.6328832905764696,0.2521451053410413,0.5278785609087935,0.09073034931699105,0.17470958647845725,0.2175385114544724,0.40360570566408915,-1.3228667805691439
0.12288199580407881,0.10873532409240161,-0.6829955870074709,0.2721096385567821,0.5696766919039453,0.09791438882848039,0.18854288026813604,0.234763782714446,0.4355631310828266,-1.4276136099344388
0.1310422742005808,0.11593864844796953,-0.7283219250416673,0.29016811547802496,0.6074826515308905,0.10441225182033254,0.20105569076435942,0.2503437054971778,0.46446913397497414,-1.5223632366194348
0.13835559295246083,0.12234506991058922,-0.7688671479963987,0.3063215160010331,0.6413005297907357,0.11022492747123329,0.21224788911278689,0.26427999485458764,0.4903263036319415,-1.6071111260075395
0.14487234985537079,0.12782565742851304,-0.8046296470263519,0.32056934584964536,0.6711298651690654,0.11535193855115417,0.22212078385500317,0.2765722444860795,0.513132536626527,-1.681862134663147
0.15065843581079896,0.13221158839553038,-0.8356079310144449,0.33291170292537475,0.6969681726943249,0.11979307128941337,0.23067217124151823,0.2872206338310662,0.5328879821876245,-1.74661314584361
0.15581778307417848,0.1352316614865683,-0.8618019800637087,0.3433473716522159,0.7188164926504945,0.12354832283352624,0.23790295514850765,0.29622406563210196,0.5495929259065914,-1.801364117960155
0.16042053741519086,0.13678898701606546,-0.8833411736369636,0.3519285148062616,0.7367818238946867,0.12663624138223128,0.2438492341745597,0.30362792614297873,0.5633288928327722,-1.8463854808095645
0.16462216960757542,0.13674363090935326,-0.900645056249386,0.3588225715382093,0.7512147231065303,0.12911697400120273,0.2486261394423075,0.30957580463336215,0.5743640592820063,-1.8825541690730279
0.1679861779794269,0.13587644602225182,-0.9131639069472819,0.36381040454095176,0.7616566871592036,0.13091171116938077,0.2520819045641916,0.3138787344797045,0.5823478635032022,-1.9087211524287746
0.17009921559025407,0.13525112350609308,-0.9208978154644004,0.36689181308443275,0.7681075544172636,0.13202046575124457,0.2542167907930532,0.31653698300723077,0.5872801262410969,-1.9248866184388702
0.17090512255015686,0.1350126271511896,-0.9238475077317126,0.3680670541585958,0.770567898139515,0.13244334181827225,0.25503103075812733,0.3175508319697421,0.5891612782131068,-1.9310520844489656
0.170914,0.13501,-0.92388,0.36808,0.770595,0.132448,0.25504,0.317562,0.589182,-1.93112
